# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-04-16 12:54:51 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06730200 BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06730200
#    DD parameter   Description
#    03   00065     Gage height, feet
#    04   00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	tz_cd	04_00060	04_00060_cd
USGS	06730200	2013-09-01 12:45	MDT	56	A
USGS	06730200	2013-09-01 13:00	MDT	56	A
USGS	06730200	2013-09-01 13:15	MDT	56	A
USGS	06730200	2013-09-01 13:30	MDT	56	A
USGS	06730200	2013-09-01 13:45	MDT	56	A
USGS	06730200	2013-09-01 14:00	MDT	56	A
USGS	06730200	2013-09-01 14:15	MDT	57	A
USGS	06730200	2013-09-01 14:30	MDT	59	A
USGS	06730200	2013-09-01 14:45	MDT	59	A
USGS	06730200	2013-09-01 15:00	MDT	60	A
USGS	06730200	2013-09-01 15:15	MDT	60	A
USGS	06730200	2013-09-01 15:30	MDT	60	A
USGS	06730200	2013-09-01 15:45	MDT	60	A
USGS	06730200	2013-09-01 16:00	MDT	60	A
USGS	06730200	2013-09-01 16:15	MDT	60	A
USGS	06730200	2013-09-01 16:30	MDT	60	A
USGS	06730200	2013-09-01 16:45	MDT	60	A
USGS	06730200	2013-09-01 17:00	MDT	62	A
USGS	06730200	2013-09-01 17:15	MDT	62	A
USGS	06730200	2013-09-01 17:30	MDT	62	A
USGS	06730200	2013-09-01 17:45	MDT	62	A
USGS	06730200	2013-09-01 18:00	MDT	62	A
USGS	06730200	2013-09-01 18:15	MDT	62	A
USGS	06730200	2013-09-01 18:30	MDT	62	A
USGS	06730200	2013-09-01 18:45	MDT	62	A
USGS	06730200	2013-09-01 19:00	MDT	62	A
USGS	06730200	2013-09-01 19:15	MDT	62	A
USGS	06730200	2013-09-01 19:30	MDT	60	A
USGS	06730200	2013-09-01 19:45	MDT	60	A
USGS	06730200	2013-09-01 20:00	MDT	60	A
USGS	06730200	2013-09-01 20:15	MDT	60	A
USGS	06730200	2013-09-01 20:30	MDT	60	A
USGS	06730200	2013-09-01 20:45	MDT	60	A
USGS	06730200	2013-09-01 21:00	MDT	60	A
USGS	06730200	2013-09-01 21:15	MDT	60	A
USGS	06730200	2013-09-01 21:30	MDT	60	A
USGS	06730200	2013-09-01 21:45	MDT	60	A
USGS	06730200	2013-09-01 22:00	MDT	60	A
USGS	06730200	2013-09-01 22:15	MDT	60	A
USGS	06730200	2013-09-01 22:30	MDT	60	A
USGS	06730200	2013-09-01 22:45	MDT	60	A
USGS	06730200	2013-09-01 23:00	MDT	60	A
USGS	06730200	2013-09-01 23:15	MDT	60	A
USGS	06730200	2013-09-01 23:30	MDT	60	A
USGS	06730200	2013-09-01 23:45	MDT	60	A
USGS	06730200	2013-09-02 00:00	MDT	60	A
USGS	06730200	2013-09-02 00:15	MDT	60	A
USGS	06730200	2013-09-02 00:30	MDT	60	A
USGS	06730200	2013-09-02 00:45	MDT	60	A
USGS	06730200	2013-09-02 01:00	MDT	59	A
USGS	06730200	2013-09-02 01:15	MDT	59	A
USGS	06730200	2013-09-02 01:30	MDT	59	A
USGS	06730200	2013-09-02 01:45	MDT	59	A
USGS	06730200	2013-09-02 02:00	MDT	59	A
USGS	06730200	2013-09-02 02:15	MDT	59	A
USGS	06730200	2013-09-02 02:30	MDT	59	A
USGS	06730200	2013-09-02 02:45	MDT	59	A
USGS	06730200	2013-09-02 03:00	MDT	59	A
USGS	06730200	2013-09-02 03:15	MDT	60	A
USGS	06730200	2013-09-02 03:30	MDT	60	A
USGS	06730200	2013-09-02 03:45	MDT	60	A
USGS	06730200	2013-09-02 04:00	MDT	60	A
USGS	06730200	2013-09-02 04:15	MDT	60	A
USGS	06730200	2013-09-02 04:30	MDT	60	A
USGS	06730200	2013-09-02 04:45	MDT	60	A
USGS	06730200	2013-09-02 05:00	MDT	60	A
USGS	06730200	2013-09-02 05:15	MDT	60	A
USGS	06730200	2013-09-02 05:30	MDT	60	A
USGS	06730200	2013-09-02 05:45	MDT	60	A
USGS	06730200	2013-09-02 06:00	MDT	60	A
USGS	06730200	2013-09-02 06:15	MDT	60	A
USGS	06730200	2013-09-02 06:30	MDT	60	A
USGS	06730200	2013-09-02 06:45	MDT	60	A
USGS	06730200	2013-09-02 07:00	MDT	60	A
USGS	06730200	2013-09-02 07:15	MDT	60	A
USGS	06730200	2013-09-02 07:30	MDT	60	A
USGS	06730200	2013-09-02 07:45	MDT	60	A
USGS	06730200	2013-09-02 08:00	MDT	60	A
USGS	06730200	2013-09-02 08:15	MDT	60	A
USGS	06730200	2013-09-02 08:30	MDT	60	A
USGS	06730200	2013-09-02 08:45	MDT	60	A
USGS	06730200	2013-09-02 09:00	MDT	60	A
USGS	06730200	2013-09-02 09:15	MDT	60	A
USGS	06730200	2013-09-02 09:30	MDT	60	A
USGS	06730200	2013-09-02 09:45	MDT	60	A
USGS	06730200	2013-09-02 10:00	MDT	59	A
USGS	06730200	2013-09-02 10:15	MDT	59	A
USGS	06730200	2013-09-02 10:30	MDT	57	A
USGS	06730200	2013-09-02 10:45	MDT	56	A
USGS	06730200	2013-09-02 11:00	MDT	56	A
USGS	06730200	2013-09-02 11:15	MDT	56	A
USGS	06730200	2013-09-02 11:30	MDT	56	A
USGS	06730200	2013-09-02 11:45	MDT	56	A
USGS	06730200	2013-09-02 12:00	MDT	57	A
USGS	06730200	2013-09-02 12:15	MDT	57	A
USGS	06730200	2013-09-02 12:30	MDT	57	A
USGS	06730200	2013-09-02 12:45	MDT	57	A
USGS	06730200	2013-09-02 13:00	MDT	57	A
USGS	06730200	2013-09-02 13:15	MDT	57	A
USGS	06730200	2013-09-02 13:30	MDT	57	A
USGS	06730200	2013-09-02 13:45	MDT	57	A
USGS	06730200	2013-09-02 14:00	MDT	57	A
USGS	06730200	2013-09-02 14:15	MDT	57	A
USGS	06730200	2013-09-02 14:30	MDT	57	A
USGS	06730200	2013-09-02 14:45	MDT	57	A
USGS	06730200	2013-09-02 15:00	MDT	57	A
USGS	06730200	2013-09-02 15:15	MDT	56	A
USGS	06730200	2013-09-02 15:30	MDT	56	A
USGS	06730200	2013-09-02 15:45	MDT	56	A
USGS	06730200	2013-09-02 16:00	MDT	56	A
USGS	06730200	2013-09-02 16:15	MDT	56	A
USGS	06730200	2013-09-02 16:30	MDT	56	A
USGS	06730200	2013-09-02 16:45	MDT	56	A
USGS	06730200	2013-09-02 17:00	MDT	56	A
USGS	06730200	2013-09-02 17:15	MDT	56	A
USGS	06730200	2013-09-02 17:30	MDT	56	A
USGS	06730200	2013-09-02 17:45	MDT	56	A
USGS	06730200	2013-09-02 18:00	MDT	56	A
USGS	06730200	2013-09-02 18:15	MDT	56	A
USGS	06730200	2013-09-02 18:30	MDT	56	A
USGS	06730200	2013-09-02 18:45	MDT	56	A
USGS	06730200	2013-09-02 19:00	MDT	56	A
USGS	06730200	2013-09-02 19:15	MDT	56	A
USGS	06730200	2013-09-02 19:30	MDT	56	A
USGS	06730200	2013-09-02 19:45	MDT	56	A
USGS	06730200	2013-09-02 20:00	MDT	56	A
USGS	06730200	2013-09-02 20:15	MDT	54	A
USGS	06730200	2013-09-02 20:30	MDT	54	A
USGS	06730200	2013-09-02 20:45	MDT	54	A
USGS	06730200	2013-09-02 21:00	MDT	53	A
USGS	06730200	2013-09-02 21:15	MDT	53	A
USGS	06730200	2013-09-02 21:30	MDT	53	A
USGS	06730200	2013-09-02 21:45	MDT	53	A
USGS	06730200	2013-09-02 22:00	MDT	52	A
USGS	06730200	2013-09-02 22:15	MDT	52	A
USGS	06730200	2013-09-02 22:30	MDT	52	A
USGS	06730200	2013-09-02 22:45	MDT	52	A
USGS	06730200	2013-09-02 23:00	MDT	52	A
USGS	06730200	2013-09-02 23:15	MDT	52	A
USGS	06730200	2013-09-02 23:30	MDT	52	A
USGS	06730200	2013-09-02 23:45	MDT	52	A
USGS	06730200	2013-09-03 00:00	MDT	53	A
USGS	06730200	2013-09-03 00:15	MDT	53	A
USGS	06730200	2013-09-03 00:30	MDT	53	A
USGS	06730200	2013-09-03 00:45	MDT	53	A
USGS	06730200	2013-09-03 01:00	MDT	53	A
USGS	06730200	2013-09-03 01:15	MDT	53	A
USGS	06730200	2013-09-03 01:30	MDT	53	A
USGS	06730200	2013-09-03 01:45	MDT	53	A
USGS	06730200	2013-09-03 02:00	MDT	52	A
USGS	06730200	2013-09-03 02:15	MDT	52	A
USGS	06730200	2013-09-03 02:30	MDT	52	A
USGS	06730200	2013-09-03 02:45	MDT	52	A
USGS	06730200	2013-09-03 03:00	MDT	50	A
USGS	06730200	2013-09-03 03:15	MDT	50	A
USGS	06730200	2013-09-03 03:30	MDT	50	A
USGS	06730200	2013-09-03 03:45	MDT	50	A
USGS	06730200	2013-09-03 04:00	MDT	50	A
USGS	06730200	2013-09-03 04:15	MDT	50	A
USGS	06730200	2013-09-03 04:30	MDT	50	A
USGS	06730200	2013-09-03 04:45	MDT	50	A
USGS	06730200	2013-09-03 05:00	MDT	50	A
USGS	06730200	2013-09-03 05:15	MDT	50	A
USGS	06730200	2013-09-03 05:30	MDT	49	A
USGS	06730200	2013-09-03 05:45	MDT	49	A
USGS	06730200	2013-09-03 06:00	MDT	49	A
USGS	06730200	2013-09-03 06:15	MDT	49	A
USGS	06730200	2013-09-03 06:30	MDT	49	A
USGS	06730200	2013-09-03 06:45	MDT	49	A
USGS	06730200	2013-09-03 07:00	MDT	49	A
USGS	06730200	2013-09-03 07:15	MDT	49	A
USGS	06730200	2013-09-03 07:30	MDT	49	A
USGS	06730200	2013-09-03 07:45	MDT	48	A
USGS	06730200	2013-09-03 08:00	MDT	48	A
USGS	06730200	2013-09-03 08:15	MDT	48	A
USGS	06730200	2013-09-03 08:30	MDT	48	A
USGS	06730200	2013-09-03 08:45	MDT	48	A
USGS	06730200	2013-09-03 09:00	MDT	48	A
USGS	06730200	2013-09-03 09:15	MDT	48	A
USGS	06730200	2013-09-03 09:30	MDT	48	A
USGS	06730200	2013-09-03 09:45	MDT	48	A
USGS	06730200	2013-09-03 10:00	MDT	48	A
USGS	06730200	2013-09-03 10:15	MDT	48	A
USGS	06730200	2013-09-03 10:30	MDT	48	A
USGS	06730200	2013-09-03 10:45	MDT	48	A
USGS	06730200	2013-09-03 11:00	MDT	48	A
USGS	06730200	2013-09-03 11:15	MDT	48	A
USGS	06730200	2013-09-03 11:30	MDT	48	A
USGS	06730200	2013-09-03 11:45	MDT	48	A
USGS	06730200	2013-09-03 12:00	MDT	48	A
USGS	06730200	2013-09-03 12:15	MDT	48	A
USGS	06730200	2013-09-03 12:30	MDT	48	A
USGS	06730200	2013-09-03 12:45	MDT	48	A
USGS	06730200	2013-09-03 13:00	MDT	48	A
USGS	06730200	2013-09-03 13:15	MDT	46	A
USGS	06730200	2013-09-03 13:30	MDT	46	A
USGS	06730200	2013-09-03 13:45	MDT	46	A
USGS	06730200	2013-09-03 14:00	MDT	46	A
USGS	06730200	2013-09-03 14:15	MDT	46	A
USGS	06730200	2013-09-03 14:30	MDT	46	A
USGS	06730200	2013-09-03 14:45	MDT	46	A
USGS	06730200	2013-09-03 15:00	MDT	46	A
USGS	06730200	2013-09-03 15:15	MDT	45	A
USGS	06730200	2013-09-03 15:30	MDT	45	A
USGS	06730200	2013-09-03 15:45	MDT	44	A
USGS	06730200	2013-09-03 16:00	MDT	44	A
USGS	06730200	2013-09-03 16:15	MDT	44	A
USGS	06730200	2013-09-03 16:30	MDT	46	A
USGS	06730200	2013-09-03 16:45	MDT	48	A
USGS	06730200	2013-09-03 17:00	MDT	50	A
USGS	06730200	2013-09-03 17:15	MDT	53	A
USGS	06730200	2013-09-03 17:30	MDT	56	A
USGS	06730200	2013-09-03 17:45	MDT	57	A
USGS	06730200	2013-09-03 18:00	MDT	59	A
USGS	06730200	2013-09-03 18:15	MDT	60	A
USGS	06730200	2013-09-03 18:30	MDT	60	A
USGS	06730200	2013-09-03 18:45	MDT	60	A
USGS	06730200	2013-09-03 19:00	MDT	62	A
USGS	06730200	2013-09-03 19:15	MDT	62	A
USGS	06730200	2013-09-03 19:30	MDT	62	A
USGS	06730200	2013-09-03 19:45	MDT	63	A
USGS	06730200	2013-09-03 20:00	MDT	63	A
USGS	06730200	2013-09-03 20:15	MDT	63	A
USGS	06730200	2013-09-03 20:30	MDT	63	A
USGS	06730200	2013-09-03 20:45	MDT	63	A
USGS	06730200	2013-09-03 21:00	MDT	63	A
USGS	06730200	2013-09-03 21:15	MDT	63	A
USGS	06730200	2013-09-03 21:30	MDT	63	A
USGS	06730200	2013-09-03 21:45	MDT	63	A
USGS	06730200	2013-09-03 22:00	MDT	63	A
USGS	06730200	2013-09-03 22:15	MDT	63	A
USGS	06730200	2013-09-03 22:30	MDT	63	A
USGS	06730200	2013-09-03 22:45	MDT	63	A
USGS	06730200	2013-09-03 23:00	MDT	63	A
USGS	06730200	2013-09-03 23:15	MDT	62	A
USGS	06730200	2013-09-03 23:30	MDT	62	A
USGS	06730200	2013-09-03 23:45	MDT	63	A
USGS	06730200	2013-09-04 00:00	MDT	66	A
USGS	06730200	2013-09-04 00:15	MDT	68	A
USGS	06730200	2013-09-04 00:30	MDT	68	A
USGS	06730200	2013-09-04 00:45	MDT	68	A
USGS	06730200	2013-09-04 01:00	MDT	70	A
USGS	06730200	2013-09-04 01:15	MDT	70	A
USGS	06730200	2013-09-04 01:30	MDT	70	A
USGS	06730200	2013-09-04 01:45	MDT	70	A
USGS	06730200	2013-09-04 02:00	MDT	68	A
USGS	06730200	2013-09-04 02:15	MDT	68	A
USGS	06730200	2013-09-04 02:30	MDT	68	A
USGS	06730200	2013-09-04 02:45	MDT	68	A
USGS	06730200	2013-09-04 03:00	MDT	68	A
USGS	06730200	2013-09-04 03:15	MDT	68	A
USGS	06730200	2013-09-04 03:30	MDT	68	A
USGS	06730200	2013-09-04 03:45	MDT	68	A
USGS	06730200	2013-09-04 04:00	MDT	68	A
USGS	06730200	2013-09-04 04:15	MDT	68	A
USGS	06730200	2013-09-04 04:30	MDT	66	A
USGS	06730200	2013-09-04 04:45	MDT	66	A
USGS	06730200	2013-09-04 05:00	MDT	66	A
USGS	06730200	2013-09-04 05:15	MDT	66	A
USGS	06730200	2013-09-04 05:30	MDT	66	A
USGS	06730200	2013-09-04 05:45	MDT	66	A
USGS	06730200	2013-09-04 06:00	MDT	66	A
USGS	06730200	2013-09-04 06:15	MDT	66	A
USGS	06730200	2013-09-04 06:30	MDT	66	A
USGS	06730200	2013-09-04 06:45	MDT	66	A
USGS	06730200	2013-09-04 07:00	MDT	66	A
USGS	06730200	2013-09-04 07:15	MDT	66	A
USGS	06730200	2013-09-04 07:30	MDT	66	A
USGS	06730200	2013-09-04 07:45	MDT	66	A
USGS	06730200	2013-09-04 08:00	MDT	66	A
USGS	06730200	2013-09-04 08:15	MDT	66	A
USGS	06730200	2013-09-04 08:30	MDT	66	A
USGS	06730200	2013-09-04 08:45	MDT	65	A
USGS	06730200	2013-09-04 09:00	MDT	65	A
USGS	06730200	2013-09-04 09:15	MDT	65	A
USGS	06730200	2013-09-04 09:30	MDT	65	A
USGS	06730200	2013-09-04 09:45	MDT	65	A
USGS	06730200	2013-09-04 10:00	MDT	65	A
USGS	06730200	2013-09-04 10:15	MDT	65	A
USGS	06730200	2013-09-04 10:30	MDT	65	A
USGS	06730200	2013-09-04 10:45	MDT	63	A
USGS	06730200	2013-09-04 11:00	MDT	63	A
USGS	06730200	2013-09-04 11:15	MDT	63	A
USGS	06730200	2013-09-04 11:30	MDT	62	A
USGS	06730200	2013-09-04 11:45	MDT	62	A
USGS	06730200	2013-09-04 12:00	MDT	62	A
USGS	06730200	2013-09-04 12:15	MDT	62	A
USGS	06730200	2013-09-04 12:30	MDT	62	A
USGS	06730200	2013-09-04 12:45	MDT	60	A
USGS	06730200	2013-09-04 13:00	MDT	62	A
USGS	06730200	2013-09-04 13:15	MDT	62	A
USGS	06730200	2013-09-04 13:30	MDT	62	A
USGS	06730200	2013-09-04 13:45	MDT	63	A
USGS	06730200	2013-09-04 14:00	MDT	65	A
USGS	06730200	2013-09-04 14:15	MDT	66	A
USGS	06730200	2013-09-04 14:30	MDT	66	A
USGS	06730200	2013-09-04 14:45	MDT	66	A
USGS	06730200	2013-09-04 15:00	MDT	68	A
USGS	06730200	2013-09-04 15:15	MDT	68	A
USGS	06730200	2013-09-04 15:30	MDT	68	A
USGS	06730200	2013-09-04 15:45	MDT	68	A
USGS	06730200	2013-09-04 16:00	MDT	68	A
USGS	06730200	2013-09-04 16:15	MDT	68	A
USGS	06730200	2013-09-04 16:30	MDT	68	A
USGS	06730200	2013-09-04 16:45	MDT	70	A
USGS	06730200	2013-09-04 17:00	MDT	70	A
USGS	06730200	2013-09-04 17:15	MDT	71	A
USGS	06730200	2013-09-04 17:30	MDT	71	A
USGS	06730200	2013-09-04 17:45	MDT	73	A
USGS	06730200	2013-09-04 18:00	MDT	73	A
USGS	06730200	2013-09-04 18:15	MDT	73	A
USGS	06730200	2013-09-04 18:30	MDT	73	A
USGS	06730200	2013-09-04 18:45	MDT	75	A
USGS	06730200	2013-09-04 19:00	MDT	75	A
USGS	06730200	2013-09-04 19:15	MDT	75	A
USGS	06730200	2013-09-04 19:30	MDT	75	A
USGS	06730200	2013-09-04 19:45	MDT	75	A
USGS	06730200	2013-09-04 20:00	MDT	75	A
USGS	06730200	2013-09-04 20:15	MDT	75	A
USGS	06730200	2013-09-04 20:30	MDT	75	A
USGS	06730200	2013-09-04 20:45	MDT	75	A
USGS	06730200	2013-09-04 21:00	MDT	75	A
USGS	06730200	2013-09-04 21:15	MDT	75	A
USGS	06730200	2013-09-04 21:30	MDT	75	A
USGS	06730200	2013-09-04 21:45	MDT	75	A
USGS	06730200	2013-09-04 22:00	MDT	75	A
USGS	06730200	2013-09-04 22:15	MDT	75	A
USGS	06730200	2013-09-04 22:30	MDT	75	A
USGS	06730200	2013-09-04 22:45	MDT	75	A
USGS	06730200	2013-09-04 23:00	MDT	75	A
USGS	06730200	2013-09-04 23:15	MDT	75	A
USGS	06730200	2013-09-04 23:30	MDT	75	A
USGS	06730200	2013-09-04 23:45	MDT	75	A
USGS	06730200	2013-09-05 00:00	MDT	73	A
USGS	06730200	2013-09-05 00:15	MDT	73	A
USGS	06730200	2013-09-05 00:30	MDT	73	A
USGS	06730200	2013-09-05 00:45	MDT	73	A
USGS	06730200	2013-09-05 01:00	MDT	73	A
USGS	06730200	2013-09-05 01:15	MDT	73	A
USGS	06730200	2013-09-05 01:30	MDT	73	A
USGS	06730200	2013-09-05 01:45	MDT	73	A
USGS	06730200	2013-09-05 02:00	MDT	73	A
USGS	06730200	2013-09-05 02:15	MDT	73	A
USGS	06730200	2013-09-05 02:30	MDT	73	A
USGS	06730200	2013-09-05 02:45	MDT	73	A
USGS	06730200	2013-09-05 03:00	MDT	73	A
USGS	06730200	2013-09-05 03:15	MDT	73	A
USGS	06730200	2013-09-05 03:30	MDT	73	A
USGS	06730200	2013-09-05 03:45	MDT	73	A
USGS	06730200	2013-09-05 04:00	MDT	73	A
USGS	06730200	2013-09-05 04:15	MDT	73	A
USGS	06730200	2013-09-05 04:30	MDT	73	A
USGS	06730200	2013-09-05 04:45	MDT	73	A
USGS	06730200	2013-09-05 05:00	MDT	73	A
USGS	06730200	2013-09-05 05:15	MDT	73	A
USGS	06730200	2013-09-05 05:30	MDT	71	A
USGS	06730200	2013-09-05 05:45	MDT	71	A
USGS	06730200	2013-09-05 06:00	MDT	71	A
USGS	06730200	2013-09-05 06:15	MDT	71	A
USGS	06730200	2013-09-05 06:30	MDT	71	A
USGS	06730200	2013-09-05 06:45	MDT	71	A
USGS	06730200	2013-09-05 07:00	MDT	71	A
USGS	06730200	2013-09-05 07:15	MDT	71	A
USGS	06730200	2013-09-05 07:30	MDT	73	A
USGS	06730200	2013-09-05 07:45	MDT	73	A
USGS	06730200	2013-09-05 08:00	MDT	73	A
USGS	06730200	2013-09-05 08:15	MDT	73	A
USGS	06730200	2013-09-05 08:30	MDT	73	A
USGS	06730200	2013-09-05 08:45	MDT	73	A
USGS	06730200	2013-09-05 09:00	MDT	75	A
USGS	06730200	2013-09-05 09:15	MDT	75	A
USGS	06730200	2013-09-05 09:30	MDT	75	A
USGS	06730200	2013-09-05 09:45	MDT	75	A
USGS	06730200	2013-09-05 10:00	MDT	75	A
USGS	06730200	2013-09-05 10:15	MDT	75	A
USGS	06730200	2013-09-05 10:30	MDT	75	A
USGS	06730200	2013-09-05 10:45	MDT	75	A
USGS	06730200	2013-09-05 11:00	MDT	75	A
USGS	06730200	2013-09-05 11:15	MDT	75	A
USGS	06730200	2013-09-05 11:30	MDT	75	A
USGS	06730200	2013-09-05 11:45	MDT	75	A
USGS	06730200	2013-09-05 12:00	MDT	75	A
USGS	06730200	2013-09-05 12:15	MDT	75	A
USGS	06730200	2013-09-05 12:30	MDT	73	A
USGS	06730200	2013-09-05 12:45	MDT	73	A
USGS	06730200	2013-09-05 13:00	MDT	75	A
USGS	06730200	2013-09-05 13:15	MDT	75	A
USGS	06730200	2013-09-05 13:30	MDT	74	A
USGS	06730200	2013-09-05 13:45	MDT	74	A
USGS	06730200	2013-09-05 14:00	MDT	74	A
USGS	06730200	2013-09-05 14:15	MDT	74	A
USGS	06730200	2013-09-05 14:30	MDT	74	A
USGS	06730200	2013-09-05 14:45	MDT	73	A
USGS	06730200	2013-09-05 15:00	MDT	73	A
USGS	06730200	2013-09-05 15:15	MDT	73	A
USGS	06730200	2013-09-05 15:30	MDT	71	A
USGS	06730200	2013-09-05 15:45	MDT	71	A
USGS	06730200	2013-09-05 16:00	MDT	71	A
USGS	06730200	2013-09-05 16:15	MDT	71	A
USGS	06730200	2013-09-05 16:30	MDT	71	A
USGS	06730200	2013-09-05 16:45	MDT	71	A
USGS	06730200	2013-09-05 17:00	MDT	70	A
USGS	06730200	2013-09-05 17:15	MDT	70	A
USGS	06730200	2013-09-05 17:30	MDT	70	A
USGS	06730200	2013-09-05 17:45	MDT	70	A
USGS	06730200	2013-09-05 18:00	MDT	70	A
USGS	06730200	2013-09-05 18:15	MDT	70	A
USGS	06730200	2013-09-05 18:30	MDT	70	A
USGS	06730200	2013-09-05 18:45	MDT	70	A
USGS	06730200	2013-09-05 19:00	MDT	70	A
USGS	06730200	2013-09-05 19:15	MDT	70	A
USGS	06730200	2013-09-05 19:30	MDT	70	A
USGS	06730200	2013-09-05 19:45	MDT	70	A
USGS	06730200	2013-09-05 20:00	MDT	70	A
USGS	06730200	2013-09-05 20:15	MDT	70	A
USGS	06730200	2013-09-05 20:30	MDT	70	A
USGS	06730200	2013-09-05 20:45	MDT	70	A
USGS	06730200	2013-09-05 21:00	MDT	70	A
USGS	06730200	2013-09-05 21:15	MDT	70	A
USGS	06730200	2013-09-05 21:30	MDT	70	A
USGS	06730200	2013-09-05 21:45	MDT	70	A
USGS	06730200	2013-09-05 22:00	MDT	70	A
USGS	06730200	2013-09-05 22:15	MDT	70	A
USGS	06730200	2013-09-05 22:30	MDT	70	A
USGS	06730200	2013-09-05 22:45	MDT	70	A
USGS	06730200	2013-09-05 23:00	MDT	70	A
USGS	06730200	2013-09-05 23:15	MDT	70	A
USGS	06730200	2013-09-05 23:30	MDT	70	A
USGS	06730200	2013-09-05 23:45	MDT	70	A
