record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
11953,10,5,1986,2,NL,M,33,221
12299,2,1,1987,2,NL,M,32,253
12458,3,2,1987,2,NL,M,33,259
12602,4,6,1987,2,NL,M,34,260
12678,4,26,1987,2,NL,M,30,79
12708,4,26,1987,2,NL,F,28,72
12729,4,26,1987,2,NL,M,32,270
12756,5,28,1987,2,NL,F,30,99
12871,5,28,1987,2,NL,M,32,278
12997,7,1,1987,2,NL,F,30,136
13025,7,1,1987,2,NL,M,33,260
13326,8,26,1987,2,NL,F,32,146
13434,9,27,1987,2,NL,M,33,197
13465,9,27,1987,2,NL,F,32,167
13476,9,27,1987,2,NL,F,33,146
13615,10,25,1987,2,NL,M,34,203
13630,10,25,1987,2,NL,F,30,176
13748,11,22,1987,2,NL,M,34,214
13977,1,24,1988,2,NL,F,34,161
14646,6,12,1988,2,NL,F,34,148
14796,8,10,1988,2,NL,M,34,188
14804,8,10,1988,2,NL,M,31,132
14896,9,12,1988,2,NL,M,34,161
14984,10,9,1988,2,NL,M,35,170
15302,12,14,1988,2,NL,M,35,248
15780,3,13,1989,2,NL,M,33,242
16407,7,30,1989,2,NL,F,33,97
17230,2,25,1990,2,NL,M,33,218
17941,10,16,1990,2,NL,F,33,195
18110,12,15,1990,2,NL,F,33,193
18364,2,16,1991,2,NL,F,33,185
18486,3,13,1991,2,NL,F,33,174
18639,4,21,1991,2,NL,F,33,126
18678,5,13,1991,2,NL,F,31,81
18680,5,13,1991,2,NL,F,33,185
18846,7,12,1991,2,NL,M,33,154
18948,8,7,1991,2,NL,M,32,178
19032,9,9,1991,2,NL,M,31,180
19245,11,13,1991,2,NL,F,36,165
20040,5,30,1992,2,NL,F,36,220
20089,7,3,1992,2,NL,F,21,130
20364,9,26,1992,2,NL,F,32,114
20466,10,18,1992,2,NL,F,33,135
20992,7,14,1993,2,NL,M,32,78
21120,9,16,1993,2,NL,M,37,138
21161,10,15,1993,2,NL,M,32,148
21232,11,13,1993,2,NL,M,35,154
21235,11,13,1993,2,NL,M,34,160
21286,12,14,1993,2,NL,M,32,153
22728,9,23,1995,2,NL,F,32,165
22899,10,28,1995,2,NL,F,32,171
24589,10,12,1996,2,NL,M,33,127
24690,11,16,1996,2,NL,F,33,130
24703,11,16,1996,2,NL,M,33,148
25247,3,15,1997,2,NL,M,34,147
25701,5,10,1997,2,NL,F,32,144
26028,6,9,1997,2,NL,M,34,193
26644,7,29,1997,2,NL,F,30,178
26827,9,27,1997,2,NL,F,33,138
26857,9,27,1997,2,NL,F,33,174
27042,10,25,1997,2,NL,F,34,186
27326,12,28,1997,2,NL,F,33,181
27734,3,29,1998,2,NL,F,33,188
27860,5,28,1998,2,NL,F,33,190
27897,5,28,1998,2,NL,M,21,110
27919,5,28,1998,2,NL,F,34,158
28022,6,27,1998,2,NL,F,31,182
28077,6,27,1998,2,NL,M,30,132
28328,8,22,1998,2,NL,F,30,143
28551,9,20,1998,2,NL,M,31,178
28556,9,20,1998,2,NL,M,30,149
28662,10,24,1998,2,NL,M,34,168
28928,12,22,1998,2,NL,F,31,165
29039,1,16,1999,2,NL,F,34,162
29310,3,14,1999,2,NL,F,32,153
29435,4,17,1999,2,NL,M,34,220
29572,5,15,1999,2,NL,F,33,154
29823,9,11,1999,2,NL,F,33,200
29865,10,9,1999,2,NL,F,32,194
29950,11,6,1999,2,NL,F,33,195
30066,12,5,1999,2,NL,F,33,131
30172,1,8,2000,2,NL,F,30,137
30174,1,8,2000,2,NL,F,33,181
30175,1,8,2000,2,NL,M,34,265
30307,2,5,2000,2,NL,F,33,185
30308,2,5,2000,2,NL,F,31,144
30443,3,4,2000,2,NL,M,33,184
30741,6,3,2000,2,NL,F,33,158
31516,11,25,2000,2,NL,F,29,200
31517,11,25,2000,2,NL,M,32,228
31633,12,22,2000,2,NL,F,31,173
31717,1,21,2001,2,NL,M,33,121
31721,1,21,2001,2,NL,F,31,158
31862,3,24,2001,2,NL,F,32,252
31946,4,21,2001,2,NL,F,33,145
32045,5,26,2001,2,NL,M,32,135
32167,6,25,2001,2,NL,F,30,173
32391,8,25,2001,2,NL,F,33,193
32817,10,13,2001,2,NL,F,29,72
33040,11,17,2001,2,NL,F,31,119
33041,11,17,2001,2,NL,F,33,213
33237,12,15,2001,2,NL,F,33,126
33238,12,15,2001,2,NL,F,32,198
33415,2,9,2002,2,NL,M,33,120
33583,3,13,2002,2,NL,M,32,136
33586,3,13,2002,2,NL,F,32,196
33847,4,17,2002,2,NL,F,30,149
33966,5,15,2002,2,NL,F,31,188
34198,6,15,2002,2,NL,F,31,139
34783,10,5,2002,2,NL,M,36,226
34991,11,9,2002,2,NL,M,33,238
35212,12,7,2002,2,NL,M,33,248
226,9,13,1977,2,DM,M,37,51
233,9,13,1977,2,DM,M,25,44
245,10,16,1977,2,DM,M,37,39
251,10,16,1977,2,DM,M,36,49
257,10,16,1977,2,DM,M,37,47
259,10,16,1977,2,DM,M,36,41
268,10,16,1977,2,DM,F,36,55
346,11,12,1977,2,DM,F,37,36
350,11,12,1977,2,DM,M,37,47
354,11,12,1977,2,DM,M,38,44
361,11,12,1977,2,DM,F,36,40
422,12,10,1977,2,DM,F,37,42
424,12,10,1977,2,DM,M,37,52
427,12,10,1977,2,DM,F,37,37
438,12,10,1977,2,DM,M,36,47
449,12,10,1977,2,DM,M,35,43
507,1,8,1978,2,DM,M,35,44
511,1,8,1978,2,DM,M,36,38
518,1,8,1978,2,DM,M,36,38
519,1,8,1978,2,DM,M,38,48
521,1,8,1978,2,DM,M,36,43
522,1,8,1978,2,DM,F,37,35
523,1,8,1978,2,DM,M,36,43
527,1,8,1978,2,DM,F,37,37
593,2,18,1978,2,DM,M,38,52
595,2,18,1978,2,DM,M,37,51
600,2,18,1978,2,DM,F,37,40
601,2,18,1978,2,DM,M,36,41
660,3,11,1978,2,DM,M,37,53
664,3,11,1978,2,DM,M,35,43
838,5,6,1978,2,DM,M,37,48
842,5,6,1978,2,DM,F,38,41
849,5,6,1978,2,DM,M,36,43
924,5,19,1978,2,DM,M,37,49
930,5,19,1978,2,DM,M,36,44
1018,6,9,1978,2,DM,M,36,43
1061,7,7,1978,2,DM,F,38,46
1062,7,7,1978,2,DM,F,37,43
1159,8,5,1978,2,DM,F,36,31
1183,8,5,1978,2,DM,F,37,47
1269,9,4,1978,2,DM,F,38,41
1272,9,4,1978,2,DM,F,36,42
1277,9,4,1978,2,DM,F,38,47
1370,10,8,1978,2,DM,F,36,39
1382,10,8,1978,2,DM,F,38,42
1461,11,5,1978,2,DM,F,36,38
1469,11,5,1978,2,DM,F,38,41
1519,12,3,1978,2,DM,M,38,46
1529,12,3,1978,2,DM,M,38,38
1534,12,3,1978,2,DM,F,37,40
1535,12,3,1978,2,DM,F,38,43
1539,12,3,1978,2,DM,M,36,49
1581,1,29,1979,2,DM,F,38,42
1644,2,25,1979,2,DM,F,37,44
1661,2,25,1979,2,DM,F,35,44
1676,3,31,1979,2,DM,M,36,54
1692,3,31,1979,2,DM,M,37,45
1701,3,31,1979,2,DM,F,36,46
1768,4,29,1979,2,DM,M,39,43
1839,5,30,1979,2,DM,M,37,50
1845,5,30,1979,2,DM,F,36,53
1846,5,30,1979,2,DM,M,37,45
2014,8,23,1979,2,DM,M,38,49
2060,9,23,1979,2,DM,F,35,46
2070,9,23,1979,2,DM,M,37,51
2122,10,25,1979,2,DM,F,35,35
2131,10,25,1979,2,DM,F,37,47
2176,11,17,1979,2,DM,M,37,50
2181,11,17,1979,2,DM,F,36,49
2338,1,16,1980,2,DM,F,36,46
2339,1,16,1980,2,DM,F,35,37
2340,1,16,1980,2,DM,F,34,42
2372,1,16,1980,2,DM,F,36,37
2400,1,16,1980,2,DM,F,36,42
2456,2,25,1980,2,DM,F,36,48
2460,2,25,1980,2,DM,F,37,46
2525,2,25,1980,2,DM,F,36,45
2975,5,18,1980,2,DM,M,35,43
2981,5,18,1980,2,DM,F,36,56
3035,6,2,1980,2,DM,M,38,46
3099,6,23,1980,2,DM,M,35,42
3107,6,23,1980,2,DM,F,35,53
3182,7,22,1980,2,DM,M,36,43
3236,8,14,1980,2,DM,M,35,42
3302,9,8,1980,2,DM,M,35,45
3388,10,12,1980,2,DM,M,34,45
3454,11,9,1980,2,DM,F,35,38
3456,11,9,1980,2,DM,F,36,45
3525,11,9,1980,2,DM,M,34,42
3547,12,15,1980,2,DM,M,34,48
3550,12,15,1980,2,DM,F,37,46
3564,12,15,1980,2,DM,M,35,49
3566,12,15,1980,2,DM,M,34,47
3569,12,15,1980,2,DM,M,34,33
3580,12,15,1980,2,DM,M,35,42
3738,1,12,1981,2,DM,M,35,47
3741,1,12,1981,2,DM,M,37,50
3781,1,12,1981,2,DM,M,35,54
3790,1,12,1981,2,DM,M,35,41
3867,2,1,1981,2,DM,M,37,48
3877,2,1,1981,2,DM,M,37,50
3889,2,1,1981,2,DM,M,36,48
3897,2,1,1981,2,DM,M,37,49
3899,2,1,1981,2,DM,M,36,44
3901,2,1,1981,2,DM,M,37,39
3947,3,9,1981,2,DM,M,35,51
3960,3,9,1981,2,DM,M,37,49
3979,3,9,1981,2,DM,F,34,51
3998,3,9,1981,2,DM,F,36,30
4004,3,9,1981,2,DM,M,36,40
4452,5,4,1981,2,DM,M,36,48
4482,5,4,1981,2,DM,M,37,44
4520,6,4,1981,2,DM,M,34,38
4548,6,4,1981,2,DM,M,36,44
4685,7,8,1981,2,DM,M,37,45
4693,7,30,1981,2,DM,M,37,45
4714,7,30,1981,2,DM,M,37,45
4952,10,26,1981,2,DM,F,37,38
5044,11,23,1981,2,DM,F,36,36
5063,11,23,1981,2,DM,M,37,44
5167,1,1,1982,2,DM,M,35,45
5288,1,25,1982,2,DM,M,35,44
5483,2,24,1982,2,DM,M,34,44
6006,6,28,1982,2,DM,F,35,32
6470,8,16,1982,2,DM,M,35,39
6474,8,16,1982,2,DM,M,36,40
6520,9,18,1982,2,DM,M,37,40
6523,9,18,1982,2,DM,F,36,38
6528,9,18,1982,2,DM,M,34,45
6549,9,18,1982,2,DM,F,34,33
6553,9,18,1982,2,DM,M,36,40
6824,10,24,1982,2,DM,M,37,43
6832,10,24,1982,2,DM,M,37,40
6837,10,24,1982,2,DM,F,35,36
6842,10,24,1982,2,DM,M,34,42
6889,10,24,1982,2,DM,F,36,37
6939,10,24,1982,2,DM,M,37,44
6944,10,24,1982,2,DM,M,38,43
6945,10,24,1982,2,DM,F,36,39
7061,11,22,1982,2,DM,M,36,39
7080,11,22,1982,2,DM,F,33,37
7246,1,13,1983,2,DM,M,36,40
7294,1,13,1983,2,DM,F,35,36
7402,2,27,1983,2,DM,M,35,44
7420,2,27,1983,2,DM,F,36,42
7553,3,15,1983,2,DM,M,37,43
7558,3,15,1983,2,DM,F,35,36
7715,4,17,1983,2,DM,M,36,45
7723,4,17,1983,2,DM,F,37,39
7735,4,17,1983,2,DM,M,37,41
7884,5,15,1983,2,DM,F,36,40
7895,5,15,1983,2,DM,M,36,48
7916,5,15,1983,2,DM,M,36,46
8125,7,17,1983,2,DM,M,35,38
8235,8,16,1983,2,DM,M,36,38
8339,9,11,1983,2,DM,M,34,38
8359,9,11,1983,2,DM,F,35,42
8413,9,11,1983,2,DM,M,36,43
8494,10,16,1983,2,DM,M,34,37
8631,11,13,1983,2,DM,M,35,37
8656,11,13,1983,2,DM,F,35,37
8800,12,9,1983,2,DM,F,36,37
8903,2,5,1984,2,DM,F,37,36
8954,3,13,1984,2,DM,M,36,43
8961,3,13,1984,2,DM,F,35,38
9034,4,10,1984,2,DM,M,35,41
9133,5,13,1984,2,DM,F,36,44
9156,5,13,1984,2,DM,M,35,45
9180,5,13,1984,2,DM,M,37,46
9182,5,13,1984,2,DM,F,36,45
9269,5,28,1984,2,DM,M,37,44
9452,8,1,1984,2,DM,F,34,39
9572,9,30,1984,2,DM,F,35,34
9672,10,21,1984,2,DM,F,37,40
9762,12,31,1984,2,DM,F,36,36
9767,12,31,1984,2,DM,F,37,34
9873,1,20,1985,2,DM,F,35,30
9880,1,20,1985,2,DM,M,37,44
9894,1,20,1985,2,DM,F,35,33
9901,1,20,1985,2,DM,M,37,35
9920,1,20,1985,2,DM,F,36,36
9980,2,17,1985,2,DM,F,35,37
9984,2,17,1985,2,DM,M,36,39
10001,2,17,1985,2,DM,F,35,39
10004,2,17,1985,2,DM,F,34,37
10006,2,17,1985,2,DM,F,35,42
10021,2,17,1985,2,DM,M,35,44
10031,2,17,1985,2,DM,F,36,37
10092,3,17,1985,2,DM,F,35,38
10109,3,17,1985,2,DM,F,36,43
10114,3,17,1985,2,DM,F,35,39
10254,4,21,1985,2,DM,M,35,27
10277,4,21,1985,2,DM,F,37,44
10290,4,21,1985,2,DM,F,36,44
10318,4,21,1985,2,DM,F,37,43
10354,4,21,1985,2,DM,F,35,39
10363,4,21,1985,2,DM,F,37,43
10366,4,21,1985,2,DM,M,37,46
10411,5,24,1985,2,DM,M,35,33
10415,5,24,1985,2,DM,F,36,40
10421,5,24,1985,2,DM,F,35,39
10430,5,24,1985,2,DM,F,33,17
10447,5,24,1985,2,DM,F,35,38
10500,6,16,1985,2,DM,F,36,42
10517,6,16,1985,2,DM,F,32,15
10518,6,16,1985,2,DM,F,36,40
10532,6,16,1985,2,DM,F,33,30
10595,7,24,1985,2,DM,F,37,41
10600,7,24,1985,2,DM,F,32,17
10603,7,24,1985,2,DM,F,36,37
10610,7,24,1985,2,DM,F,33,32
10621,7,24,1985,2,DM,F,37,36
10623,7,24,1985,2,DM,F,35,33
10686,8,20,1985,2,DM,F,35,48
10693,8,20,1985,2,DM,F,34,24
10716,8,20,1985,2,DM,F,35,38
10784,9,22,1985,2,DM,F,37,46
10802,9,22,1985,2,DM,F,37,59
10804,9,22,1985,2,DM,F,33,41
10899,10,13,1985,2,DM,M,37,42
10909,10,13,1985,2,DM,F,37,48
10920,10,13,1985,2,DM,F,37,40
11013,11,17,1985,2,DM,M,38,43
11015,11,17,1985,2,DM,M,34,46
11063,11,17,1985,2,DM,F,37,46
11074,11,17,1985,2,DM,M,37,46
11092,11,17,1985,2,DM,F,36,39
11148,12,8,1985,2,DM,M,37,44
11150,12,8,1985,2,DM,M,37,47
11161,12,8,1985,2,DM,F,37,39
11186,12,8,1985,2,DM,M,38,42
11187,12,8,1985,2,DM,M,36,48
11197,12,8,1985,2,DM,F,37,44
11210,12,8,1985,2,DM,F,35,40
11284,3,9,1986,2,DM,M,38,44
11291,3,9,1986,2,DM,F,37,40
11304,3,9,1986,2,DM,M,36,48
11305,3,9,1986,2,DM,F,36,49
11316,3,9,1986,2,DM,F,36,38
11327,3,9,1986,2,DM,M,37,50
11387,4,13,1986,2,DM,M,37,42
11388,4,13,1986,2,DM,F,37,42
11391,4,13,1986,2,DM,M,34,26
11408,4,13,1986,2,DM,F,35,49
11421,4,13,1986,2,DM,M,38,44
11489,5,11,1986,2,DM,M,37,44
11514,5,11,1986,2,DM,M,38,37
11515,5,11,1986,2,DM,F,34,43
11535,5,11,1986,2,DM,M,34,46
11584,6,5,1986,2,DM,M,37,47
11595,6,5,1986,2,DM,M,37,47
11600,6,5,1986,2,DM,M,37,36
11608,6,5,1986,2,DM,F,37,53
11684,7,4,1986,2,DM,M,37,47
11695,7,4,1986,2,DM,F,35,43
11722,7,4,1986,2,DM,M,35,36
11772,8,10,1986,2,DM,M,38,46
11784,8,10,1986,2,DM,M,34,31
11788,8,10,1986,2,DM,M,38,40
11791,8,10,1986,2,DM,M,35,45
11841,9,7,1986,2,DM,M,36,46
11862,9,7,1986,2,DM,M,35,45
11920,10,5,1986,2,DM,M,37,53
12011,11,16,1986,2,DM,F,36,46
12014,11,16,1986,2,DM,M,35,49
12056,11,16,1986,2,DM,M,35,44
12117,12,15,1986,2,DM,F,36,44
12137,12,15,1986,2,DM,M,37,49
12138,12,15,1986,2,DM,F,35,39
12234,2,1,1987,2,DM,M,32,45
12249,2,1,1987,2,DM,F,36,45
12389,3,2,1987,2,DM,M,35,47
12394,3,2,1987,2,DM,F,34,38
12407,3,2,1987,2,DM,F,37,42
12419,3,2,1987,2,DM,M,35,49
12439,3,2,1987,2,DM,M,36,40
12533,4,6,1987,2,DM,M,36,46
12535,4,6,1987,2,DM,F,36,42
12545,4,6,1987,2,DM,M,37,45
12676,4,26,1987,2,DM,M,36,46
12764,5,28,1987,2,DM,F,36,45
12780,5,28,1987,2,DM,M,35,44
12966,7,1,1987,2,DM,M,34,47
12972,7,1,1987,2,DM,F,33,25
13267,8,26,1987,2,DM,F,37,44
13481,9,27,1987,2,DM,M,36,48
13589,10,25,1987,2,DM,M,37,45
13757,11,22,1987,2,DM,M,37,44
13820,11,22,1987,2,DM,M,37,45
13822,11,22,1987,2,DM,M,35,38
13920,1,24,1988,2,DM,M,36,38
13922,1,24,1988,2,DM,F,37,41
13935,1,24,1988,2,DM,M,34,47
14098,2,22,1988,2,DM,F,36,40
14104,2,22,1988,2,DM,M,36,45
14119,2,22,1988,2,DM,M,36,38
14123,2,22,1988,2,DM,F,36,42
14134,2,22,1988,2,DM,M,37,48
14258,3,21,1988,2,DM,M,36,43
14279,3,21,1988,2,DM,F,37,42
14322,3,21,1988,2,DM,M,38,48
14423,4,19,1988,2,DM,F,37,44
14491,5,15,1988,2,DM,F,37,48
14540,5,15,1988,2,DM,M,36,48
14603,6,12,1988,2,DM,F,38,41
14697,7,15,1988,2,DM,F,37,42
14787,8,9,1988,2,DM,M,37,41
14794,8,10,1988,2,DM,M,35,24
14797,8,10,1988,2,DM,F,32,40
14889,9,12,1988,2,DM,M,37,35
14988,10,9,1988,2,DM,M,37,43
16377,7,30,1989,2,DM,F,37,51
17298,3,30,1990,2,DM,F,37,46
17320,3,30,1990,2,DM,M,37,50
17331,3,30,1990,2,DM,M,37,43
17910,10,16,1990,2,DM,M,36,38
17915,10,16,1990,2,DM,F,37,45
17973,11,10,1990,2,DM,F,37,47
18096,12,15,1990,2,DM,F,36,44
18193,1,11,1991,2,DM,F,34,48
18201,1,11,1991,2,DM,M,37,51
18654,5,13,1991,2,DM,F,37,54
18743,6,13,1991,2,DM,F,35,44
18821,7,12,1991,2,DM,F,36,45
19378,12,7,1991,2,DM,M,36,48
19427,12,7,1991,2,DM,F,36,41
19539,1,8,1992,2,DM,M,36,42
19806,3,7,1992,2,DM,M,36,47
19866,4,4,1992,2,DM,M,37,49
20856,5,22,1993,2,DM,F,36,55
21167,10,15,1993,2,DM,M,35,34
21215,11,13,1993,2,DM,M,36,39
21223,11,13,1993,2,DM,M,36,49
21269,12,14,1993,2,DM,M,35,48
21275,12,14,1993,2,DM,M,35,36
21284,12,14,1993,2,DM,M,36,46
21325,2,1,1994,2,DM,M,37,39
21385,2,20,1994,2,DM,M,37,40
21435,3,11,1994,2,DM,M,36,40
21442,3,11,1994,2,DM,M,34,45
21448,3,11,1994,2,DM,M,36,47
21502,4,10,1994,2,DM,M,39,41
21505,4,10,1994,2,DM,M,35,52
21555,5,18,1994,2,DM,M,36,44
21560,5,18,1994,2,DM,M,36,51
21708,8,17,1994,2,DM,M,36,44
21757,9,6,1994,2,DM,M,38,46
21814,10,12,1994,2,DM,M,38,43
21879,11,1,1994,2,DM,M,36,44
21940,12,4,1994,2,DM,M,36,44
22003,1,11,1995,2,DM,M,37,41
22042,2,4,1995,2,DM,F,36,45
22044,2,4,1995,2,DM,M,37,46
22105,3,4,1995,2,DM,F,37,49
22109,3,4,1995,2,DM,M,37,46
22168,4,1,1995,2,DM,M,36,48
22250,4,29,1995,2,DM,F,36,48
22368,6,27,1995,2,DM,M,37,44
22375,6,27,1995,2,DM,F,35,27
22444,7,20,1995,2,DM,F,31,37
22550,8,26,1995,2,DM,F,37,26
22560,8,26,1995,2,DM,F,34,41
22689,9,23,1995,2,DM,F,33,43
22842,10,28,1995,2,DM,F,35,50
22853,10,28,1995,2,DM,F,34,44
22865,10,28,1995,2,DM,M,33,31
22880,10,28,1995,2,DM,M,36,44
22896,10,28,1995,2,DM,M,34,31
22997,12,2,1995,2,DM,M,36,50
23002,12,2,1995,2,DM,M,35,40
23003,12,2,1995,2,DM,F,35,43
23041,12,2,1995,2,DM,M,36,47
23044,12,2,1995,2,DM,M,37,43
23115,12,21,1995,2,DM,F,37,51
23117,12,21,1995,2,DM,M,35,23
23120,12,21,1995,2,DM,M,35,42
23136,12,21,1995,2,DM,M,33,27
23144,12,21,1995,2,DM,F,36,42
23156,12,21,1995,2,DM,M,37,47
23169,12,21,1995,2,DM,F,36,44
23220,1,27,1996,2,DM,F,36,47
23225,1,27,1996,2,DM,M,40,54
23234,1,27,1996,2,DM,F,35,45
23237,1,27,1996,2,DM,M,35,46
23243,1,27,1996,2,DM,M,36,49
23257,1,27,1996,2,DM,M,36,50
23341,2,24,1996,2,DM,F,38,55
23345,2,24,1996,2,DM,M,37,45
23357,2,24,1996,2,DM,F,35,44
23365,2,24,1996,2,DM,F,34,49
23368,2,24,1996,2,DM,M,40,55
23403,2,24,1996,2,DM,M,35,47
23498,3,23,1996,2,DM,F,36,41
23519,3,23,1996,2,DM,F,36,48
23522,3,23,1996,2,DM,F,37,49
23549,3,23,1996,2,DM,M,38,44
23565,3,23,1996,2,DM,M,37,48
23645,4,14,1996,2,DM,F,37,47
23650,4,14,1996,2,DM,F,34,26
23687,4,14,1996,2,DM,M,40,56
23703,4,14,1996,2,DM,F,36,49
23895,5,23,1996,2,DM,M,35,41
23899,5,23,1996,2,DM,M,38,53
23902,5,23,1996,2,DM,F,37,55
23904,5,23,1996,2,DM,F,36,49
23922,5,23,1996,2,DM,M,40,54
23929,5,23,1996,2,DM,F,35,47
23936,5,23,1996,2,DM,M,37,47
24027,6,13,1996,2,DM,M,40,53
24045,6,13,1996,2,DM,F,36,41
24197,7,20,1996,2,DM,F,30,46
24292,8,14,1996,2,DM,F,35,47
24306,8,14,1996,2,DM,M,36,40
24393,9,21,1996,2,DM,F,33,26
24396,9,21,1996,2,DM,M,35,28
24407,9,21,1996,2,DM,F,35,42
24443,9,21,1996,2,DM,M,36,42
24537,10,12,1996,2,DM,M,38,45
24546,10,12,1996,2,DM,M,38,50
24549,10,12,1996,2,DM,M,34,36
24553,10,12,1996,2,DM,F,35,48
24681,11,16,1996,2,DM,M,35,42
24682,11,16,1996,2,DM,M,36,41
24694,11,16,1996,2,DM,M,38,42
24822,12,18,1996,2,DM,M,35,45
24844,12,18,1996,2,DM,M,37,47
24939,2,8,1997,2,DM,M,34,44
24947,2,8,1997,2,DM,M,36,50
25014,2,8,1997,2,DM,M,37,49
25164,3,15,1997,2,DM,M,34,51
25175,3,15,1997,2,DM,M,35,52
25181,3,15,1997,2,DM,M,35,46
25183,3,15,1997,2,DM,F,37,48
25193,3,15,1997,2,DM,M,35,48
25197,3,15,1997,2,DM,F,37,53
25211,3,15,1997,2,DM,M,38,48
25214,3,15,1997,2,DM,M,38,53
25217,3,15,1997,2,DM,M,35,50
25422,4,12,1997,2,DM,M,36,43
25446,4,12,1997,2,DM,F,35,43
25720,5,10,1997,2,DM,M,38,49
25944,6,9,1997,2,DM,M,36,46
26259,7,9,1997,2,DM,M,36,44
26567,7,29,1997,2,DM,M,37,47
26773,9,27,1997,2,DM,M,36,49
27005,10,25,1997,2,DM,M,36,47
27212,11,22,1997,2,DM,M,36,43
27240,11,22,1997,2,DM,F,36,44
27293,12,28,1997,2,DM,M,37,45
27444,1,31,1998,2,DM,F,36,41
27458,1,31,1998,2,DM,M,35,46
27686,3,29,1998,2,DM,M,35,43
27701,3,29,1998,2,DM,M,34,45
27702,3,29,1998,2,DM,M,35,48
27704,3,29,1998,2,DM,M,37,44
27715,3,29,1998,2,DM,M,37,43
27747,5,2,1998,2,DM,M,35,45
27753,5,2,1998,2,DM,F,37,58
27776,5,2,1998,2,DM,M,35,46
27778,5,2,1998,2,DM,M,36,53
27862,5,28,1998,2,DM,M,37,51
27884,5,28,1998,2,DM,M,35,21
27896,5,28,1998,2,DM,F,37,45
27909,5,28,1998,2,DM,M,37,52
28019,6,27,1998,2,DM,M,37,33
28065,6,27,1998,2,DM,M,37,32
28067,6,27,1998,2,DM,M,35,44
28177,7,18,1998,2,DM,M,37,40
28184,7,18,1998,2,DM,F,36,48
28323,8,22,1998,2,DM,M,36,45
28550,9,20,1998,2,DM,M,37,47
28554,9,20,1998,2,DM,M,35,36
28561,9,20,1998,2,DM,M,35,28
28660,10,24,1998,2,DM,M,39,37
28663,10,24,1998,2,DM,M,37,44
28798,11,21,1998,2,DM,M,36,46
28799,11,21,1998,2,DM,F,35,34
28921,12,22,1998,2,DM,M,36,47
28926,12,22,1998,2,DM,F,34,36
29036,1,16,1999,2,DM,M,36,44
29037,1,16,1999,2,DM,M,37,47
29168,2,20,1999,2,DM,M,37,50
29308,3,14,1999,2,DM,M,36,51
29311,3,14,1999,2,DM,M,36,27
29431,4,17,1999,2,DM,M,37,48
29434,4,17,1999,2,DM,F,36,31
29577,5,15,1999,2,DM,M,37,46
29704,6,12,1999,2,DM,F,34,42
31215,8,25,2000,2,DM,F,36,43
31386,9,30,2000,2,DM,F,35,45
31515,11,25,2000,2,DM,F,35,43
31632,12,22,2000,2,DM,F,34,44
31718,1,21,2001,2,DM,F,34,44
31792,3,3,2001,2,DM,F,35,45
31858,3,24,2001,2,DM,M,37,53
31859,3,24,2001,2,DM,F,36,60
